id;unique_id;member_since;status;internal_notes
1;f4f34b7b-424f-4049-b860-045ea3a2877f;2019-09-21T17:59:44;SOLICITUD;navigate
2;33bc57af-a68d-41cd-a582-b0d95a30b8c3;2019-09-21T22:53:49;ACTIVO;synthesize Creative
3;2a5b13e8-eb43-4a2d-b888-43f1fe8eea35;2019-09-22T00:34:19;ACTIVO;AI optical invoice
4;1e2cea99-051f-4af0-8248-7b7af32b0375;2019-09-22T02:58:23;DECLINADO;Nevada
5;185a4439-ff67-4eea-ac58-a9a7d33b7490;2019-09-21T12:49:11;PAUSADO;Human
6;5b0fe568-f9ff-4d14-863d-4572586edbe9;2019-09-22T05:34:29;VERIFICADO;Director Concrete Bedfordshire
7;e5bdb2bb-5844-4c6c-8d9e-1808ac3a1b6c;2019-09-22T06:02:47;DECLINADO;North Dakota Garden
8;728f4d9d-0400-4d45-8258-dc43f971d038;2019-09-21T21:23:33;DECLINADO;Strategist
9;8b50c646-7b14-402f-9d6b-b602e274381b;2019-09-22T02:52:34;ACTIVO;alarm Jamaica
10;9b603952-c105-4110-904d-fb2701c7c752;2019-09-21T20:06:46;VERIFICADO;Gorgeous Cotton Chair Personal Loan Account Borders
