id;legal_name;tax_id;type;logo;logo_content_type
1;mobile Fish;Home Loan Account Table Computer;CENTRO_DE_DISTRIBUCION;../fake-data/blob/hipster.png;image/png
2;Savings Account alarm;Tasty Metal Bacon;GOBIERNO;../fake-data/blob/hipster.png;image/png
3;Home Loan Account;web-readiness;AGENTE_ADUANAL;../fake-data/blob/hipster.png;image/png
4;Steel zero administration;Multi-channelled Licensed;AGENTE_ADUANAL;../fake-data/blob/hipster.png;image/png
5;Canyon HDD;Table Small Frozen Sausages Planner;NAVIERA;../fake-data/blob/hipster.png;image/png
6;infomediaries;Investment Account;CONTRATISTA;../fake-data/blob/hipster.png;image/png
7;copy convergence;Mayotte;GOBIERNO;../fake-data/blob/hipster.png;image/png
8;connect Markets Chief;capacitor archive;CENTRO_DE_DISTRIBUCION;../fake-data/blob/hipster.png;image/png
9;compress South Georgia and the South Sandwich Islands;compelling mission-critical;NAVIERA;../fake-data/blob/hipster.png;image/png
10;Small;deliverables reinvent 24 hour;TRANSPORTISTA;../fake-data/blob/hipster.png;image/png
