id;type;title;legal_prose;signature;signature_content_type;contract_file;contract_file_content_type;qr_code;qr_code_content_type;digital_fingerprint;date_signed;expiration_date;status
1;EMPLEADO;Arizona synthesizing Fresh;override back-end hacking;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;open-source;2019-09-22T15:02:18;2019-09-22;FIRMADO
2;TERMINOS_Y_CONDICIONES;interface Central;intranet index;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Idaho customized;2019-09-22T21:36:27;2019-09-22;TERMINADO
3;SOLICITUD_DE_SERVICIO;Credit Card Account;Belize Dollar Bacon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Investment Account Rwanda Customer;2019-09-22T12:04:37;2019-09-22;TERMINADO
4;SOLICITU_DE_MANIOBRA;application Cambridgeshire;scalable connecting Fantastic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Creek Investment Account Buckinghamshire;2019-09-22T18:02:47;2019-09-23;CANCELADO
5;EMPLEADO;Persistent transparent Chips;front-end Intuitive vortals;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Communications;2019-09-23T03:19:21;2019-09-22;CANCELADO
6;INSPECCION;Personal Loan Account Awesome International;Lead alarm Cheese;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;maximize Practical Steel Fish;2019-09-23T04:30:04;2019-09-22;EMITIDO
7;INSPECCION;FTP;Persistent Investment Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Handmade Plastic Mouse neural;2019-09-23T06:53:31;2019-09-22;TERMINADO
8;EMPLEADO;District Idaho Grocery;Concrete Towels Avon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Automotive frame;2019-09-22T12:16:17;2019-09-22;PAUSADO
9;EMPLEADO;Chips Division;Massachusetts;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Awesome Officer Bedfordshire;2019-09-22T16:42:50;2019-09-22;TERMINADO
10;DECISION_INTERNA;Expressway;Tools Street;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Arkansas reciprocal;2019-09-22T13:51:57;2019-09-22;TERMINADO
