id;title;description;unit;division;price;currency
1;mobile Fish;Home Loan Account Table Computer;KG;FERTILIZANTES;2058;MXN
2;Implementation Electronics Officer;methodology Albania;TARIMA;LACTEOS;36636;MXN
3;Savings Account syndicate Planner;Refined Rubber Chicken Table;TM;INTERMODAL;9767;MXN
4;Bahamian Dollar Investment Account;Games Regional Digitized;KM;TUBERIA;18485;MXN
5;Views e-enable Communications;National Awesome sky blue;M2;POLIETILENO;35675;MXN
6;Car Industrial deliverables;orange Books;KG;LACTEOS;86310;MXN
7;payment;withdrawal COM;TM;SAGARPA;49379;USD
8;Small partnerships;Outdoors;KG;SAGARPA;75555;USD
9;Money Market Account;Salad Web virtual;KG;SAGARPA;89255;MXN
10;Direct;Profit-focused;KM;POLIETILENO;51074;MXN
