id;title;description;date;transport_type;qr_code;qr_code_content_type
1;facilitate Persevering;Fantastic;2019-09-21;FFCC;../fake-data/blob/hipster.png;image/png
2;Beauty dynamic schemas;Pound Sterling Keyboard;2019-09-21;CAMION;../fake-data/blob/hipster.png;image/png
3;models New Mexico District;Accountability;2019-09-21;CAMION;../fake-data/blob/hipster.png;image/png
4;Ways Liaison engage;disintermediate Assistant generating;2019-09-21;CAMION;../fake-data/blob/hipster.png;image/png
5;Plastic Movies;SMS;2019-09-21;CAMION;../fake-data/blob/hipster.png;image/png
6;Rhode Island capacitor;navigating Ergonomic Falls;2019-09-22;FFCC;../fake-data/blob/hipster.png;image/png
7;white SMTP;Checking Account global Steel;2019-09-21;CAMION;../fake-data/blob/hipster.png;image/png
8;solution connecting;California PNG engage;2019-09-22;CAMION;../fake-data/blob/hipster.png;image/png
9;payment digital;Rubber Industrial seamless;2019-09-21;CAMION;../fake-data/blob/hipster.png;image/png
10;array Luxembourg Spurs;empower Home Loan Account SMS;2019-09-21;CAMION;../fake-data/blob/hipster.png;image/png
