id;role;created;expires;account_level
1;CHOFER;2019-09-21T09:02:01;2019-09-21;FREE
2;CHOFER;2019-09-21T22:21:55;2019-09-21;BASIC
3;CEO;2019-09-21T10:53:28;2019-09-21;PRO
4;SUPERVISOR;2019-09-21T20:43:15;2019-09-22;FREE
5;CEO;2019-09-21T14:34:21;2019-09-21;PRO
6;INSPECTOR;2019-09-21T08:38:11;2019-09-22;FREE
7;CHOFER;2019-09-21T20:18:29;2019-09-21;PRO
8;INSPECTOR;2019-09-21T22:42:49;2019-09-21;ENTERPRISE
9;JEFE_DE_DIVISION;2019-09-21T18:26:48;2019-09-21;FREE
10;INSPECTOR;2019-09-22T02:00:52;2019-09-21;ENTERPRISE
