id;title;description;type;unit;status
1;Lari;Sports Global Soft;ALMACENAJE;KG;TERMINADO
2;Future;pixel Phased payment;ALMACENAJE;M2;CANCELADO
3;Generic;Business-focused generate grid-enabled;DESCARGA;TARIMA;EN_ESPERA
4;black Beauty;Soap;CROSS_DOCK;M2;PROCESANDO
5;Forge Licensed;auxiliary;CARGA;CONTENEDOR_40TM;CONFIRMADO
6;Computer Uzbekistan;input invoice calculate;REPARACION;CONTENEDOR_20TM;CANCELADO
7;Handcrafted Rubber Sausages;Towels Mississippi Product;REPARACION;KM;CONFIRMADO
8;quantifying Baby;one-to-one Connecticut;INSPECCION;CONTENEDOR_40TM;TERMINADO
9;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;INSPECCION;TARIMA;TERMINADO
10;Manor;Utah zero defect;EXPORTACION;CONTENEDOR_20TM;PROCESANDO
