id;title;description;quantity;price;unit;expedition_date;expiration_date;status;currency;approved_by;qr_code;qr_code_content_type
1;emulation SQL;Persevering Gorgeous Steel Salad Associate;42777;10946;TARIMA;2019-09-21T08:18:42;2019-09-21;CANCELADO;MXN;Fish Associate Intuitive;../fake-data/blob/hipster.png;image/png
2;quantifying Phased connecting;Automated;17652;38409;KM;2019-09-21T08:17:28;2019-09-21;PROCESANDO;USD;connect Zimbabwe Dollar;../fake-data/blob/hipster.png;image/png
3;Forward;Pre-emptive Reduced;53697;3486;TM;2019-09-21T20:17:13;2019-09-21;PROCESANDO;USD;Russian Federation Gorgeous ROI;../fake-data/blob/hipster.png;image/png
4;Computers Saint Helena Pound;Borders;8104;96212;TM;2019-09-21T09:47:53;2019-09-22;CONFIRMADO;MXN;Ouguiya Utah;../fake-data/blob/hipster.png;image/png
5;circuit;optical deposit;85058;15734;TARIMA;2019-09-21T08:56:36;2019-09-21;ACTIVO;USD;Outdoors backing up;../fake-data/blob/hipster.png;image/png
6;copying;reboot;16075;112;CONTENEDOR_40TM;2019-09-22T02:37:49;2019-09-22;ACTIVO;MXN;Solomon Islands;../fake-data/blob/hipster.png;image/png
7;Wooden radical Beauty;Facilitator 24/365;63262;17949;M2;2019-09-21T12:45:54;2019-09-22;EN_ESPERA;MXN;Technician Architect calculate;../fake-data/blob/hipster.png;image/png
8;Auto Loan Account;Movies Sports;32361;37183;M2;2019-09-22T07:14:26;2019-09-21;TERMINADO;USD;neural Guinea Franc;../fake-data/blob/hipster.png;image/png
9;bypassing;Kroon deposit systemic;95086;96323;KM;2019-09-21T13:42:54;2019-09-21;ACTIVO;USD;e-services;../fake-data/blob/hipster.png;image/png
10;program override red;payment efficient RSS;47320;54323;TARIMA;2019-09-22T03:34:39;2019-09-21;ACTIVO;USD;Principal Savings Account online;../fake-data/blob/hipster.png;image/png
